,Iteration,Best_SP
819,6068,141840
820,6078,141840
821,6088,141840
822,6093,141840
823,6098,141840
824,6103,141840
825,6121,141840
826,6126,141840
827,6131,141840
828,6142,141840
829,6155,141840
830,6161,141840
831,6169,141840
832,6174,141840
833,6179,141840
834,6188,141840
835,6195,141840
836,6203,141840
837,6212,141840
838,6217,141840
839,6222,141840
840,6244,141840
841,6252,141840
842,6257,141840
843,6262,141840
844,6269,141840
845,6274,141840
846,6279,141840
847,6308,141840
848,6313,141840
849,6318,141840
850,6323,141840
851,6329,141840
852,6344,141840
853,6349,141840
854,6356,141840
855,6361,141840
856,6366,141840
857,6379,141840
858,6384,141840
859,6390,141840
860,6395,141840
861,6401,141840
862,6409,141840
863,6414,141840
864,6424,141840
865,6435,141840
866,6441,141840
867,6450,141840
868,6455,141840
869,6461,141840
870,6467,141840
871,6472,141840
872,6478,141840
873,6484,141840
874,6489,141840
875,6495,141840
876,6504,141840
877,6514,141840
878,6519,141840
879,6524,141840
880,6529,141840
881,6537,141840
882,6545,141840
883,6554,141840
884,6559,141840
885,6567,141840
886,6572,141840
887,6580,141840
888,6587,141840
889,6592,141840
890,6600,141840
891,6608,141840
892,6613,141840
893,6621,141840
894,6626,141840
895,6631,141840
896,6642,141840
897,6651,141840
898,6658,141840
899,6665,141840
900,6678,141840
901,6683,141840
902,6688,141840
903,6697,141840
904,6703,141840
905,6708,141840
906,6716,141840
907,6730,141840
908,6736,141840
909,6741,141840
910,6746,141840
911,6753,141840
912,6759,141840
913,6764,141840
914,6776,141840
915,6781,141840
916,6796,141840
917,6802,141840
918,6809,141840
919,6814,141840
920,6819,141840
921,6828,141840
922,6833,141840
923,6839,141840
924,6861,141840
925,6866,141840
926,6872,141840
927,6880,141840
928,6888,141840
929,6893,141840
930,6898,141840
931,6905,141840
932,6911,141840
933,6916,141840
934,6929,141840
935,6938,141840
936,6947,141840
937,6954,141840
938,6960,141840
939,6968,141840
940,6975,141840
941,6983,141840
942,6998,141840
943,7003,141840
944,7008,141840
945,7019,141840
946,7024,141840
947,7030,141840
948,7039,141840
949,7048,141840
950,7054,141840
951,7066,141840
952,7071,141840
953,7078,141840
954,7094,141840
955,7101,141840
956,7111,141840
957,7116,141840
958,7126,141840
959,7131,141840
960,7136,141840
961,7143,141840
962,7150,141840
963,7155,141840
964,7161,141840
965,7166,141840
966,7173,141840
967,7180,141840
968,7192,141840
969,7197,141840
970,7207,141840
971,7212,141840
972,7217,141840
973,7226,141840
974,7234,141840
975,7239,141840
976,7244,141840
977,7253,141840
978,7258,141840
979,7263,141840
980,7274,141840
981,7279,141840
982,7284,141840
983,7292,141840
984,7297,141840
985,7302,141840
986,7307,141840
987,7325,141840
988,7331,141840
989,7342,141840
990,7347,141840
991,7352,141840
992,7361,141840
993,7366,141840
994,7371,141840
995,7377,141840
996,7382,141840
997,7388,141840
998,7396,141840
999,7401,141840
1000,7407,141840
1001,7412,141840
1002,7418,141840
1003,7423,141840
1004,7429,141840
1005,7434,141840
1006,7444,141840
1007,7449,141840
1008,7454,141840
1009,7462,141840
1010,7468,141840
1011,7473,141840
1012,7482,141840
1013,7489,141840
1014,7494,141840
1015,7500,141840
1016,7505,141840
1017,7510,141840
1018,7515,141840
1019,7523,141840
1020,7533,141840
1021,7539,141840
1022,7544,141840
1023,7553,141840
1024,7567,141840
1025,7572,141840
1026,7577,141840
1027,7582,141840
1028,7591,141840
1029,7598,141840
1030,7605,141840
1031,7611,141840
1032,7617,141840
1033,7627,141840
1034,7632,141840
1035,7638,141840
1036,7649,141840
1037,7654,141840
1038,7660,141840
1039,7666,141840
1040,7672,141840
1041,7677,141840
1042,7682,141840
1043,7688,141840
1044,7696,141840
1045,7710,141840
1046,7716,141840
1047,7725,141840
1048,7731,141840
1049,7739,141840
1050,7744,141840
1051,7753,141840
1052,7758,141840
1053,7764,141840
1054,7769,141840
1055,7775,141840
1056,7780,141840
1057,7791,141840
1058,7799,141840
1059,7804,141840
1060,7812,141840
1061,7821,141840
1062,7826,141840
1063,7833,141840
1064,7838,141840
1065,7843,141840
1066,7852,141840
1067,7858,141840
1068,7863,141840
1069,7870,141840
1070,7884,141840
1071,7889,141840
1072,7894,141840
1073,7900,141840
1074,7906,141840
1075,7913,141840
1076,7918,141840
1077,7927,141840
1078,7932,141840
1079,7943,141840
1080,7948,141840
1081,7953,141840
1082,7969,141840
1083,7978,141840
1084,7984,141840
1085,7989,141840
1086,7994,141840
1087,7999,141840
1088,8005,141840
1089,8012,141840
1090,8017,141840
1091,8022,141840
1092,8029,141840
1093,8038,141840
1094,8047,141840
1095,8052,141840
1096,8057,141840
1097,8065,141840
1098,8071,141840
1099,8079,141840
1100,8095,141840
1101,8100,141840
1102,8110,141840
1103,8115,141840
1104,8120,141840
1105,8125,141840
1106,8131,141840
1107,8138,141840
1108,8145,141840
1109,8150,141840
1110,8159,141840
1111,8171,141840
1112,8176,141840
1113,8183,141840
1114,8188,141840
1115,8193,141840
1116,8199,141840
1117,8208,141840
1118,8215,141840
1119,8223,141840
1120,8230,141840
1121,8236,141840
1122,8247,141840
1123,8252,141840
1124,8263,141840
1125,8272,141840
1126,8278,141840
1127,8290,141840
1128,8295,141840
1129,8306,141840
1130,8311,141840
1131,8316,141840
1132,8323,141840
1133,8329,141840
1134,8334,141840
1135,8339,141840
1136,8345,141840
1137,8350,141840
1138,8356,141840
1139,8361,141840
1140,8367,141840
1141,8384,141840
1142,8389,141840
1143,8394,141840
1144,8399,141840
1145,8404,141840
1146,8414,141840
1147,8419,141840
1148,8424,141840
1149,8440,141840
1150,8446,141840
1151,8451,141840
1152,8459,141840
1153,8480,141840
1154,8489,141840
1155,8494,141840
1156,8503,141840
1157,8508,141840
1158,8514,141840
1159,8520,141840
1160,8525,141840
1161,8530,141840
1162,8538,141840
1163,8543,141840
1164,8548,141840
1165,8553,141840
1166,8558,141840
1167,8569,141840
1168,8576,141840
1169,8588,141840
1170,8593,141840
1171,8599,141840
1172,8611,141840
1173,8616,141840
1174,8625,141840
1175,8631,141840
1176,8637,141840
1177,8643,141840
1178,8656,141840
1179,8668,141840
1180,8673,141840
1181,8683,141840
1182,8688,141840
1183,8696,141840
1184,8701,141840
1185,8716,141840
1186,8724,141840
1187,8730,141840
1188,8736,141840
1189,8751,141840
1190,8756,141840
1191,8767,141840
1192,8772,141840
1193,8782,141840
1194,8787,141840
1195,8792,141840
1196,8797,141840
1197,8808,141840
1198,8814,141840
1199,8821,141840
1200,8829,141840
1201,8834,141840
1202,8839,141840
1203,8844,141840
1204,8849,141840
1205,8855,141840
1206,8863,141840
1207,8868,141840
1208,8879,141840
1209,8884,141840
1210,8890,141840
1211,8895,141840
1212,8900,141840
1213,8905,141840
1214,8926,141840
1215,8931,141840
1216,8945,141840
1217,8950,141840
1218,8962,141840
1219,8967,141840
1220,8972,141840
1221,8977,141840
1222,8982,141840
1223,8987,141840
1224,8995,141840
1225,9000,141840
1226,9005,141840
1227,9014,141840
1228,9029,141840
1229,9039,141840
1230,9044,141840
1231,9049,141840
1232,9057,141840
1233,9062,141840
1234,9072,141840
1235,9084,141840
1236,9091,141840
1237,9098,141840
1238,9104,141840
1239,9109,141840
1240,9119,141840
1241,9124,141840
1242,9129,141840
1243,9134,141840
1244,9152,141840
1245,9157,141840
1246,9165,141840
1247,9175,141840
1248,9180,141840
1249,9194,141840
1250,9199,141840
1251,9204,141840
1252,9209,141840
1253,9217,141840
1254,9226,141840
1255,9231,141840
1256,9236,141840
1257,9243,141840
1258,9248,141840
1259,9253,141840
1260,9263,141840
1261,9271,141840
1262,9276,141840
1263,9282,141840
1264,9289,141840
1265,9294,141840
1266,9305,141840
1267,9313,141840
1268,9324,141840
1269,9330,141840
1270,9335,141840
1271,9350,141840
1272,9355,141840
1273,9361,141840
1274,9376,141840
1275,9381,141840
1276,9386,141840
1277,9392,141840
1278,9398,141840
1279,9403,141840
1280,9408,141840
1281,9416,141840
1282,9430,141840
1283,9435,141840
1284,9441,141840
1285,9455,141840
1286,9465,141840
1287,9472,141840
1288,9477,141840
1289,9484,141840
1290,9489,141840
1291,9494,141840
1292,9500,141840
1293,9505,141840
1294,9514,141840
1295,9521,141840
1296,9527,141840
1297,9534,141840
1298,9540,141840
1299,9546,141840
1300,9551,141840
1301,9556,141840
1302,9562,141840
1303,9575,141840
1304,9582,141840
1305,9587,141840
1306,9595,141840
1307,9600,141840
1308,9607,141840
1309,9617,141840
1310,9623,141840
1311,9628,141840
1312,9636,141840
1313,9643,141840
1314,9648,141840
1315,9660,141840
1316,9666,141840
1317,9671,141840
1318,9680,141840
1319,9687,141840
1320,9697,141840
1321,9706,141840
1322,9716,141840
1323,9721,141840
1324,9727,141840
1325,9732,141840
1326,9739,141840
1327,9748,141840
1328,9756,141840
1329,9763,141840
1330,9770,141840
1331,9783,141840
1332,9788,141840
1333,9793,141840
1334,9798,141840
1335,9804,141840
1336,9809,141840
1337,9816,141840
1338,9822,141840
1339,9831,141840
1340,9836,141840
1341,9841,141840
1342,9849,141840
1343,9860,141840
1344,9866,141840
1345,9875,141840
1346,9885,141840
1347,9891,141840
1348,9898,141840
1349,9906,141840
1350,9918,141840
1351,9927,141840
1352,9933,141840
1353,9939,141840
1354,9946,141840
1355,9956,141840
1356,9962,141840
1357,9972,141840
1358,9979,141840
1359,9985,141840
1360,9990,141840
1361,9997,141840
1362,10002,141840
1363,10007,141840
1364,10015,141840
1365,10020,141840
1366,10025,141840
1367,10030,141840
1368,10036,141840
1369,10045,141840
1370,10053,141840
1371,10060,141840
1372,10069,141840
1373,10074,141840
1374,10079,141840
1375,10084,141840
1376,10089,141840
1377,10109,141840
1378,10114,141840
1379,10120,141840
1380,10128,141840
1381,10133,141840
1382,10138,141840
1383,10152,141840
1384,10158,141840
1385,10167,141840
1386,10172,141840
1387,10181,141840
1388,10186,141840
1389,10194,141840
1390,10199,141840
1391,10205,141840
1392,10210,141840
1393,10220,141840
1394,10233,141840
1395,10239,141840
1396,10244,141840
1397,10250,141840
1398,10257,141840
1399,10262,141840
1400,10267,141840
1401,10274,141840
1402,10279,141840
1403,10288,141840
1404,10293,141840
1405,10302,141840
1406,10309,141840
1407,10316,141840
1408,10326,141840
1409,10331,141840
1410,10336,141840
1411,10353,141840
1412,10358,141840
1413,10363,141840
1414,10368,141840
1415,10373,141840
1416,10382,141840
1417,10392,141840
1418,10403,141840
1419,10408,141840
1420,10414,141840
1421,10419,141840
1422,10424,141840
1423,10429,141840
1424,10436,141840
1425,10446,141840
1426,10451,141840
1427,10459,141840
1428,10464,141840
1429,10469,141840
1430,10479,141840
1431,10487,141840
1432,10498,141840
1433,10503,141840
1434,10513,141840
1435,10518,141840
1436,10525,141840
1437,10530,141840
1438,10536,141840
1439,10542,141840
1440,10551,141840
1441,10556,141840
1442,10565,141840
1443,10570,141840
1444,10575,141840
1445,10580,141840
1446,10585,141840
1447,10591,141840
1448,10596,141840
1449,10601,141840
1450,10606,141840
1451,10618,141840
1452,10624,141840
1453,10629,141840
1454,10640,141840
1455,10645,141840
1456,10650,141840
1457,10657,141840
1458,10662,141840
1459,10670,141840
1460,10679,141840
1461,10684,141840
1462,10689,141840
1463,10694,141840
1464,10708,141840
1465,10714,141840
1466,10719,141840
1467,10724,141840
1468,10732,141840
1469,10741,141840
1470,10746,141840
1471,10752,141840
1472,10763,141840
1473,10769,141840
1474,10774,141840
1475,10783,141840
1476,10791,141840
1477,10796,141840
1478,10801,141840
1479,10809,141840
1480,10814,141840
1481,10826,141840
1482,10831,141840
1483,10842,141840
1484,10848,141840
1485,10860,141840
1486,10866,141840
1487,10874,141840
1488,10882,141840
1489,10887,141840
1490,10893,141840
1491,10898,141840
1492,10907,141840
1493,10912,141840
1494,10921,141840
1495,10927,141840
1496,10942,141840
1497,10949,141840
1498,10958,141840
1499,10963,141840
1500,10969,141840
1501,10974,141840
1502,10983,141840
1503,10988,141840
1504,10993,141840
1505,11001,141840
1506,11006,141840
1507,11014,141840
1508,11019,141840
1509,11026,141840
1510,11031,141840
1511,11044,141840
1512,11049,141840
1513,11056,141840
1514,11061,141840
1515,11066,141840
1516,11072,141840
1517,11078,141840
1518,11083,141840
1519,11088,141840
1520,11097,141840
1521,11105,141840
1522,11113,141840
1523,11121,141840
1524,11127,141840
1525,11134,141840
1526,11139,141840
1527,11144,141840
1528,11149,141840
1529,11154,141840
1530,11159,141840
1531,11167,141840
1532,11176,141840
1533,11181,141840
1534,11188,141840
1535,11196,141840
1536,11201,141840
1537,11209,141840
1538,11216,141840
1539,11224,141840
1540,11229,141840
1541,11238,141840
1542,11246,141840
1543,11251,141840
1544,11256,141840
1545,11264,141840
1546,11269,141840
1547,11274,141840
1548,11279,141840
1549,11286,141840
1550,11291,141840
1551,11296,141840
1552,11302,141840
1553,11311,141840
1554,11317,141840
1555,11324,141840
1556,11332,141840
1557,11338,141840
1558,11346,141840
1559,11353,141840
1560,11366,141840
1561,11375,141840
1562,11381,141840
1563,11386,141840
1564,11391,141840
1565,11405,141840
1566,11410,141840
1567,11417,141840
1568,11425,141840
1569,11430,141840
1570,11437,141840
1571,11446,141840
1572,11464,141840
1573,11469,141840
1574,11474,141840
1575,11482,141840
1576,11487,141840
1577,11496,141840
1578,11501,141840
1579,11510,141840
1580,11518,141840
1581,11528,141840
1582,11534,141840
1583,11544,141840
1584,11549,141840
1585,11555,141840
1586,11564,141840
1587,11569,141840
1588,11574,141840
1589,11580,141840
1590,11586,141840
1591,11591,141840
1592,11597,141840
1593,11602,141840
1594,11607,141840
1595,11615,141840
1596,11620,141840
1597,11634,141840
1598,11639,141840
1599,11650,141840
1600,11655,141840
1601,11660,141840
1602,11666,141840
1603,11675,141840
1604,11684,141840
1605,11690,141840
1606,11695,141840
1607,11701,141840
1608,11707,141840
1609,11713,141840
1610,11719,141840
1611,11727,141840
1612,11737,141840
1613,11742,141840
1614,11752,141840
1615,11757,141840
1616,11763,141840
1617,11769,141840
1618,11781,141840
1619,11792,141840
1620,11797,141840
1621,11810,141840
1622,11821,141840
1623,11826,141840
1624,11835,141840
1625,11840,141840
1626,11845,141840
1627,11851,141840
1628,11856,141840
1629,11864,141840
1630,11869,141840
1631,11881,141840
1632,11886,141840
1633,11893,141840
1634,11900,141840
1635,11908,141840
1636,11914,141840
1637,11919,141840
1638,11932,141840
1639,11937,141840
1640,11945,141840
1641,11951,141840
1642,11957,141840
1643,11962,141840
1644,11967,141840
1645,11972,141840
1646,11979,141840
1647,11985,141840
1648,11990,141840
1649,11995,141840
1650,12003,141840
1651,12009,141840
1652,12015,141840
1653,12023,141840
1654,12029,141840
1655,12035,141840
1656,12040,141840
1657,12046,141840
1658,12051,141840
1659,12058,141840
1660,12063,141840
1661,12068,141840
1662,12075,141840
1663,12080,141840
1664,12089,141840
1665,12095,141840
1666,12101,141840
1667,12107,141840
1668,12112,141840
1669,12117,141840
1670,12123,141840
1671,12129,141840
1672,12134,141840
1673,12142,141840
1674,12147,141840
1675,12154,141840
